Nayaki,"Nayaki / Nayagi is a 2016 Telugu-Tamil bilingual comedy horror film, directed by Goverdhan Reddy. The film stars Trisha in the lead role, with Ganesh Venkatraman, Satyam Rajesh and Sushma Raj in supporting roles. The film is produced by Giridhar Mamidipally, who was the former manager of Trisha under Giridhar Production House, and has cinematography by Jagadeesh. Both versions of the film opened to negative reviews in mid-2016.",https://upload.wikimedia.org/wikipedia/en/7/74/Nayaki_poster.jpg,16-09-2016,Giridhar Mamidipally,"Mali G. (Tamil dialogues),",Govi,Telugu,105,7.4,Drama
Pichaikkaran,"Pichaikkaran (English: Beggar) is a 2016 Indian Tamil action thriller film directed by Sasi, starring Vijay Antony in the lead role. The film released on 4 March 2016. The Telugu dubbed version was titled as Bichagadu and was released on 13 May 2016.The movie became surprise hit in Andhra and grossed 18crores which is higher than tamilnadu 15crores.",https://upload.wikimedia.org/wikipedia/en/9/98/Pichaikaran.jpg,04-03-2016,Fathima Vijay Antony,Sasi,Sasi,Tamil,155,8.2,Drama
Jackson Durai,"Jackson Durai is a 2016 Tamil horror comedy film witten and directed by Dharani Dharan, starring Sibiraj, Sathyaraj and Bindu Madhavi in the leading roles,while Karunakaran plays an important role. Featuring music composed by Siddharth Vipin and editing by Vivek Harshan, the film released on 1 July 2016.",https://upload.wikimedia.org/wikipedia/en/1/1b/Jackson-Durai-First-Look-Posters-1.jpg,01-07-2016,M. S. Sharavanan,Dharani Dharan,Dharani Dharan,Tamil,150,7.4,Comedy
Nambiyaar,"Nambiyaar is a 2016 Tamil language science fiction-comedy film written and directed by Ganeshaa in his directorial debut. It stars comedian Santhanam in the title character, alongside Srikanth and Sunaina in the lead roles. Produced by Srikanth's home production Golden Friday Films, the film is named after the veteran actor M. N. Nambiar who was famous for his villainous roles in yester-year Tamil cinema. Vijay Antony scored the soundtrack and original scores for the film. Despite beginning production during early 2013, the film went through delays before releasing in August 2016.",https://upload.wikimedia.org/wikipedia/en/0/0d/Nambiar_2016_poster.jpg,01-07-2016,S. Vandana,Ganeshaa,Ganeshaa,Tamil,151,8.7,Romance
Thodari,"Thodari (English: The Train) is a 2016 Indian Tamil-language romantic thriller film co produced, written and directed by Prabhu Solomon. The film produced by Sathya Jyothi Films stars Dhanush and Keerthy Suresh in the lead roles, while D. Imman composes the film's music. The film was released on 22 September 2016.",https://upload.wikimedia.org/wikipedia/en/a/aa/Thodari_poster.jpg,17-09-2016,T. G. Thiyagarajan,Prabhu Solomon,Prabhu Solomon,Tamil,163,4.9,Tragedy
Kuttrame Thandanai,"Kutrame Thandanai (English: The Crime is the Punishment) is a 2016 Tamil language neo-noir crime psychological thriller film cinematograph and directed by M. Manikandan and produced by S. Harihara Naganathan, S. Muthu, S. Kaleeswaran under Don Production co prodcued with Tribal Art Productions.
This film starring Vidharth, Aishwarya Rajesh and Pooja Devariya in the leading roles. Supporting role played by Rahman, Nassar, Guru Somasundaram, G. Marimuthu and Yogi Babu Played guest appearances.
This film written by M. Manikandan and Anand Annamalai, music score by Ilaiyaraaja(without songs), edited done by Anucharan(Kirumi fame director and editor), production designed by Balasubramanian and Vijay Aadhinathan.
The film follows the story of a man with tunnel vision, who is slowly going blind and cannot afford the surgery to fix his eyes. When he witnesses a young woman's murder, the suspects offer him large sums of money to remain quiet and he inadvertently gets stuck in between two parties. The film released on 2 September 2016 to positive reviews, following several screenings at film festivals worldwide.",https://upload.wikimedia.org/wikipedia/en/1/1f/Kuttrame_Thandanai_poster.jpg,10-09-2016,S. Harihara Naganathan,M. Manikandan,M. Manikandan,Tamil,154,8.7,Comedy
Uchathula Shiva,"Uchathula Shiva (English: Shiva on the rise) is a 2016 Tamil action film directed by Jaypee, starring Karan and Neha Ratnakaran in the leading roles. Featuring music composed by VidyaSagar, the film is produced by Karan's wife, Devi Karan and marks the actor's first home production. The film had a theatrical release on 16 September 2016.",http://www.flimnews.com/wp-content/uploads/2015/09/tamil-movie-uchathula-shiva-poster.jpg,03-09-2016,Devi Karan,,Jaypee,Tamil,111,6.5,Action
Yennai Arindhaal,"Yennai Arindhaal (English: If You Know Me) is a 2015 Indian Tamil crime-drama film co-written and directed by Gautham Menon, and produced by A. M. Rathnam. The film stars Ajith Kumar, Trisha Krishnan, Anushka Shetty, Arun Vijay, Parvathy Nair and Vivek. The soundtrack album and background score for the film was composed by Harris Jayaraj. The film was edited by Anthony while Dan Macarthur handled the cinematography. Yennai Arindhaal's story follows the journey of man named Sathyadev, from the age of 13 till the age of 38. It is also the final film of Menon's police trilogy of films that began with Kaakha Kaakha (2003) and continued with Vettaiyaadu Vilaiyaadu (2006). The film was released on 5 February 2015.",https://upload.wikimedia.org/wikipedia/en/4/4d/Yennai_Arindhaal.jpg,05-02-2015,A. M. Rathnam,Gautham Vasudev Menon ,Gautham Vasudev Menon,Tamil,166,9.5,Drama
Thani Oruvan,"Thani Oruvan (English: The Lone One) is a 2015 Indian Tamil-language action thriller film directed by Mohan Raja and written by Subha. The film, produced by Kalpathi S. Aghoram, Kalpathi S. Ganesh and Kalpathi S. Suresh under the production company AGS Entertainment, stars Jayam Ravi and Nayanthara. The plot revolves around IPS Officer Mithran who wants to arrest Siddharth Abhimanyu, an affluential scientist who uses hidden illegal medical practices for profit.
The soundtrack was composed by Hiphop Tamizha. The cinematography and editing was handled by Ramji and Gopikrishna respectively. The film was released on 28 August 2015. The film is being remade in Telugu as Dhruva (2016).",https://upload.wikimedia.org/wikipedia/en/f/f1/Thani_Oruvan.jpg,28-08-2015,Kalpathi S. Aghoram,Mohan Raja,Mohan Raja,Tamil,200,7.4,Romance
Kanchana 2,"Kanchana 2 (marketed as Muni 3: Kanchana 2) is a 2015 Tamil horror comedy film produced, written and directed by Raghava Lawrence, who enacted dual roles in it. It is the third installment in the Muni series after Muni 2: Kanchana. The film, also featuring Taapsee Pannu, Nithya Menen and Kovai Sarala in lead roles, released worldwide on 17 April 2015. The Telugu version Ganga was released on 1 May 2015. The film is being remade in Kannada as Kalpana 2 and is due for release in June 2016.",https://upload.wikimedia.org/wikipedia/en/0/06/Muni_3_kanchana_2.jpg,21-08-2015,Raghava Lawrence,Raghava Lawrence,Raghava Lawrence,Tamil,104,7.8,Action
Uttama Villain,"Uttama Villain (English: The Righteous Villain) is a 2015 Indian Tamil drama-metafilm directed by Ramesh Aravind and written by Kamal Haasan. The film was presented by N. Lingusamy in association with Kamal Haasan and produced by S. Chandrahasan for Raaj Kamal Films International and N. Subash Chandrabose for Thirupathi Brothers Film Media. It features an ensemble cast that includes Kamal Hassan, K. Viswanath, K. Balachander, Jayaram, Andrea Jeremiah, Pooja Kumar, Nassar, Parvathy and Urvashi. Ghibran composed the soundtrack and score.
Principal photography commenced on 3 March 2014. Uttama Villain was released on 2 May 2015 after disputes between producers and financers. The film received positive reviews, but didn't become a big success at box office.",https://upload.wikimedia.org/wikipedia/en/7/7f/Uthama_Villain.jpg,02-05-2015,N. Lingusamy,Kamal Haasan,Ramesh Aravind,Tamil,181,9.9,Comedy
