Castle ,https://upload.wikimedia.org/wikipedia/en/4/48/CastleIntertitle.png,Andrew W. Marlowe,8.4,32,2010/08/26,Thriller,8,"Castle is an American crime-comedy-drama television series, which aired on ABC for a total of eight seasons from March 9, 2009 to May 16, 2016. The series is produced jointly by Beacon Pictures and ABC Studios.
Created by Andrew W. Marlowe, it primarily traces the lives of Richard Castle (Nathan Fillion), a best-selling mystery novelist, and Kate Beckett (Stana Katic), an NYPD homicide detective, as they solve various unusual crimes in New York City. Detective Beckett is initially infuriated at the thought of working with a writer and goes to great lengths to keep him out of her way. However, the two soon start developing feelings for each other. The overarching plot of the series focused on the romance between the two lead characters and their ongoing investigation of the murder of Beckett's mother.
On May 12, 2016, it was announced that despite some cast members signing one-year contracts for a potential ninth season, the show was canceled."
How I Met Your Mother,https://upload.wikimedia.org/wikipedia/en/f/fc/Howimetyourmother.jpg,Carter Bays,8.9,45,2010/12/29,Sitcom,11,"How I Met Your Mother (often abbreviated to HIMYM) is an American sitcom that originally aired on CBS from September 19, 2005, to March 31, 2014. The series follows the main character, Ted Mosby, and his group of friends in Manhattan. As a framing device, Ted, in the year 2030, recounts to his son and daughter the events that led him to meeting their mother.
The series was created by Craig Thomas and Carter Bays, who also served as the show's executive producers and were frequent writers. The series was loosely inspired by their friendship when they both lived in New York City. Among the 208 episodes, there were only four directors: Pamela Fryman (196 episodes), Rob Greenberg (7 episodes), Michael Shea (4 episodes), and Neil Patrick Harris (1 episode).
Known for its unique structure and eccentric humor, How I Met Your Mother has gained a cult following over the years. The show initially received positive reviews, while the later seasons received more mixed reviews."
Friends,https://upload.wikimedia.org/wikipedia/commons/b/bc/Friends_logo.svg,David Crane,7.6,47,2015/01/05,Sitcom,8,"Friends is an American television sitcom, created by David Crane and Marta Kauffman, which aired on NBC from September 22, 1994, to May 6, 2004, lasting ten seasons. With an ensemble cast starring Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc, Matthew Perry and David Schwimmer, the show revolves around six 20-30 something friends living in Manhattan. The series was produced by Bright/Kauffman/Crane Productions, in association with Warner Bros. Television. The original executive producers were Kevin S. Bright, Marta Kauffman, and David Crane.
Kauffman and Crane began developing Friends under the title Insomnia Cafe between November and December 1993. They presented the idea to Bright, and together they pitched a seven-page treatment of the show to NBC. After several script rewrites and changes, including a title change to Six of One and Friends Like Us, the series was finally named Friends.
Filming took place at Warner Bros."
Doctor Who,https://upload.wikimedia.org/wikipedia/en/0/05/Doctor_Who_-_Current_Titlecard.png,David Crane,6.6,39,2016/02/15,Science fiction,10,"Doctor Who is a British science-fiction television programme produced by the BBC since 1963. The programme depicts the adventures of the Doctor, a Time Lord—a space and time-travelling humanoid alien. He explores the universe in his TARDIS, a sentient time-travelling space ship. Its exterior appears as a blue British police box, which was a common sight in Britain in 1963 when the series first aired. Accompanied by companions, the Doctor combats a variety of foes, while working to save civilisations and help people in need.
The show is a significant part of British popular culture, and elsewhere it has become a cult television favourite. The show has influenced generations of British television professionals, many of whom grew up watching the series. The programme originally ran from 1963 to 1989."
Game of Thrones,https://upload.wikimedia.org/wikipedia/en/d/d8/Game_of_Thrones_title_card.jpg,David Crane,9.5,31,2014/10/02,"Drama
",7,"Game of Thrones is an American fantasy drama television series created by David Benioff and D. B. Weiss. It is an adaptation of A Song of Ice and Fire, George R. R. Martin's series of fantasy novels, the first of which is A Game of Thrones. It is filmed at Titanic Studios in Belfast, on location elsewhere in the United Kingdom, and in Croatia, Iceland, Malta, Morocco, Spain, and the United States. The series premiered on HBO in the United States on April 17, 2011, and its sixth season ended on June 26, 2016. The series was renewed for a seventh season, scheduled to premiere in mid-2017, with a total of seven episodes and will conclude with its eighth season in 2018.
Set on the fictional continents of Westeros and Essos, it has several plot lines and a large ensemble cast. The first story arc follows a dynastic conflict among competing claimants for succession to the Iron Throne of the Seven Kingdoms, with other noble families fighting for independence from the throne. The second covers attempts to reclaim the throne by the exiled last scion of the realm's deposed ruling dynasty; the third chronicles the threat of the impending winter and the legendary creatures and fierce peoples of the North."
Broadchurch,https://upload.wikimedia.org/wikipedia/en/7/7e/Broadchurch_titlecard.jpg,Chris Chibnall,9.7,36,2014/03/04,Crime drama,10,"Broadchurch is a British television crime drama broadcast on ITV. It was created and written by Chris Chibnall and produced by Kudos Film and Television, Shine America, and Imaginary Friends. The first series (which premiered on 4 March 2013), focused on the death of an 11-year-old boy and the impact of grief, mutual suspicion, and media attention on the town. Filming for series two began in late May 2014, concluded on 12 October 2014, and premiered on 5 January 2015. Series three was confirmed on 23 February 2015, immediately following the series two finale.
Broadchurch series one focused on the search for the boy's murderer by detectives Alec Hardy (played by David Tennant) and Ellie Miller (played by Olivia Colman). Chibnall was inspired by the Jurassic Coast of Britain to set his crime drama in a fictional, close-knit small town in Dorset. Much of the tone of the series was inspired by the music of Ólafur Arnalds, who also composed the soundtrack for the programme. Writing on spec, Chibnall convinced ITV to green-light the series in the autumn of 2011."
Antiques Roadshow,https://upload.wikimedia.org/wikipedia/en/a/a0/Antiques_Roadshow_%28title_card%29.jpg,,9.1,30,2010/11/28,Romance,3,"Antiques Roadshow is a British television show in which antiques appraisers travel to various regions of the United Kingdom (and occasionally in other countries) to appraise antiques brought in by local people. It has been running since 1979, based on a 1977 documentary series. The series has spawned versions in other countries with the same TV format, including Canada and the United States. As of 2016 it is presented by Fiona Bruce and is in its 39th series."
The Big Bang Theory,https://upload.wikimedia.org/wikipedia/en/7/7b/The_Big_Bang_Theory_%28Official_Title_Card%29.png,Chuck Lorre,9,32,2013/02/01,Sitcom,8,"The Big Bang Theory (often shortened to Big Bang Theory, and often abbreviated to TBBT or BBT) is an American television sitcom created by Chuck Lorre and Bill Prady, both of whom serve as executive producers on the series, along with Steven Molaro. All three also serve as head writers. The show premiered on CBS on September 24, 2007. In March 2014, the show was renewed for three more years through a tenth season, which premiered on September 19, 2016.
The show is primarily centered on five characters living in Pasadena, California: Leonard Hofstadter and Sheldon Cooper, both physicists at Caltech, who share an apartment; Penny, a waitress and aspiring actress who later becomes a pharmaceutical representative and who lives across the hall; and Leonard and Sheldon's similarly geeky and socially awkward friends and co-workers, aerospace engineer Howard Wolowitz and astrophysicist Raj Koothrappali. The geekiness and intellect of the four guys are contrasted for comic effect with Penny's social skills and common sense.
Over time, supporting characters have been promoted to starring roles: Bernadette Rostenkowski, Howard's girlfriend (later his wife), a microbiologist and former part-time waitress alongside Penny; neuroscientist Amy Farrah Fowler, who joins the group after being matched to Sheldon on a dating website (and later becomes Sheldon's girlfriend); Stuart Bloom, the cash-strapped owner of the comic book store the characters often visit; Leslie Winkle, a physicist who dated Leonard and Howard; and Emily Sweeney, a dermatologist who dated Raj and had a fascination with the macabre."
Mad Men,https://upload.wikimedia.org/wikipedia/en/3/33/Mad-men-title-card.jpg,Matthew Weiner,7.8,48,2013/11/27,Period drama,10,"Mad Men is an American period drama television series created by Matthew Weiner and produced by Lionsgate Television. The series premiered on July 19, 2007, on the cable network AMC. After seven seasons and 92 episodes, Mad Men's final episode aired on May 17, 2015.
Mad Men is set primarily in the 1960s, initially at the fictional Sterling Cooper advertising agency on Madison Avenue in New York City, and later at the newly created firm, Sterling Cooper Draper Pryce (later Sterling Cooper & Partners), located nearby in the Time-Life Building, at 1271 Sixth Avenue. According to the show's pilot, the phrase ""Mad men"" was a slang term coined in the 1950s by advertisers working on Madison Avenue to refer to themselves, a claim that has since been disputed. Don Draper (Jon Hamm) is featured in the series, initially as the talented creative director at Sterling Cooper and later a founding partner at Sterling Cooper Draper Pryce, and the people in his personal and professional lives. The plot focuses on the business of the agencies as well as the personal lives of the characters, regularly depicting the changing moods and social mores of the United States through the 1960s. Season 1 begins in March 1960 and moves through November 1970 by the conclusion of Season 7.
Throughout its run, Mad Men received widespread critical acclaim for its writing, acting, and historical authenticity; it has won many awards, including 16 Emmys and five Golden Globes."
House of Cards ,https://upload.wikimedia.org/wikipedia/en/3/3f/House_of_Cards_title_card.png,Beau Willimon,9.7,37,2010/09/07,Political drama,8,"House of Cards is an American political drama web television series created by Beau Willimon. It is an adaptation of the BBC's mini-series of the same name and is based on the novel by Michael Dobbs. The entire first season, comprising thirteen episodes, premiered on February 1, 2013, on the streaming service Netflix. A second season of thirteen episodes premiered on February 14, 2014, while a third season premiered on February 27, 2015. House of Cards was renewed for a fourth season, which premiered on March 4, 2016. In January 2016, Netflix announced that the show had been renewed for a fifth season, due for release in 2017, along with announcing that Willimon would step down as showrunner after the fourth season. Willimon has stated that plans for the show's future are decided after each season.
Set in present-day Washington, D.C., House of Cards is the story of Frank Underwood (Kevin Spacey), a Democrat from South Carolina's 5th congressional district and House Majority Whip who, after being passed over for appointment as Secretary of State, initiates an elaborate plan to get himself into a position of greater power, aided by his wife, Claire Underwood (Robin Wright)."
